source_id,area1,action,location,site,plot,area2,transition,survival,log_size,log_size_next,id,period
M08_69_2021,200.95,shrink,Maguey,8,69,185.32649484536083,t1,1,5.30305612089521,5.222119106585315,1,2021
M08_69_2021,23.41,shrink,Maguey,8,69,20.9340206185567,t1,1,3.1531632815028194,3.0413756163637395,2,2021
M08_69_2021,29.21,shrink,Maguey,8,69,12.073814432989693,t1,1,3.3745111163996495,2.4910390111149727,3,2021
M08_70_2021,211.26,dead,Maguey,8,70,0,t1,0,5.353089602395016,NA,4,2021
M08_70_2021,189.05,shrink,Maguey,8,70,139.4476288659794,t1,1,5.242011530336942,4.937689110458011,5,2021
M08_71_2021,425.5,dead,Maguey,8,71,0,t1,0,6.053264948013429,NA,6,2021
M08_71_2021,64.95,grow,Maguey,8,71,70.36855670103094,t1,1,4.173617743116608,4.2537465256221925,7,2021
M08_72_2021,94.58,grow,Maguey,8,72,103.82917525773196,t1,1,4.54944603721573,4.642747003085625,8,2021
M08_72_2021,102.92,grow,Maguey,8,72,109.3319587628866,t1,1,4.6339519874135435,4.694388747346331,9,2021
M08_72_2021,76.3,grow,Maguey,8,72,80.19082474226803,t1,1,4.334672938290411,4.384409103617876,10,2021
M10_81_2021,56.43,grow,Maguey,10,81,63.45582159624413,t1,1,4.033000931981049,4.150343940877371,11,2021
M10_81_2021,219.72,grow,Maguey,10,81,232.94910798122066,t1,1,5.3923540084744195,5.450820009026973,12,2021
M10_81_2021,221.62,same,Maguey,10,81,228.13173708920186,t1,1,5.400964203508179,5.429923256346498,13,2021
M10_81_2021,49.67,shrink,Maguey,10,81,36.19241784037558,t1,1,3.905401129119259,3.5888496449702814,14,2021
M10_82_2021,66.82,grow,Maguey,10,82,71.93514084507042,t1,1,4.20200243692861,4.275764891436206,15,2021
M10_82_2021,99.86,shrink,Maguey,10,82,84.98582159624414,t1,1,4.603769205072463,4.442484437826788,16,2021
M10_83_2021,92,shrink,Maguey,10,83,81.2556338028169,t1,1,4.5217885770490405,4.397600157917594,17,2021
M10_84_2021,51.52,same,Maguey,10,84,52.608145539906104,t1,1,3.9419700817960983,3.962870965927495,18,2021
M15_64_2021,110.32,grow,Maguey,15,64,114.97845360824742,t1,1,4.703385233485046,4.744744750880903,19,2021
M15_64_2021,37.41,grow,Maguey,15,64,39.11082474226804,t1,1,3.6219380483600547,3.6663992763044257,20,2021
M15_64_2021,217.36,same,Maguey,15,64,213.11546391752577,t1,1,5.3815549651180925,5.361834102954744,21,2021
M15_64_2021,501.61,same,Maguey,15,64,494.7916494845361,t1,1,6.217822925324135,6.204136763828905,22,2021
M15_64_2021,82.12,same,Maguey,15,64,84.66371134020619,t1,1,4.408181592150733,4.438687072310582,23,2021
M15_64_2021,49.83,shrink,Maguey,15,64,25.160515463917523,t1,1,3.908617212293313,3.2252759190594786,24,2021
M15_64_2021,46.29,shrink,Maguey,15,64,28.378659793814432,t1,1,3.8349259550431793,3.345637447002113,25,2021
M28_74_2021,95.67,dead,Maguey,28,74,0,t1,0,4.560904769690076,NA,26,2021
M28_74_2021,828.19,dead,Maguey,28,74,0,t1,0,6.7192425966604015,NA,27,2021
M28_74_2021,89.38,same,Maguey,28,74,87.3179381443299,t1,1,4.492896943505305,4.469555918763587,28,2021
M28_74_2021,59.19,shrink,Maguey,28,74,53.60587628865979,t1,1,4.080752608702634,3.981658694318696,29,2021
M28_76_2021,93.76,grow,Maguey,28,76,98.65927835051546,t1,1,4.540738325828703,4.591672281269571,30,2021
M28_76_2021,161.57,same,Maguey,28,76,156.3320618556701,t1,1,5.084938485288739,5.0519823466257145,31,2021
M28_76_2021,92.3,same,Maguey,28,76,89.01876288659794,t1,1,4.525044141508807,4.488847166463486,32,2021
M28_76_2021,179.94,shrink,Maguey,28,76,167.39453608247425,t1,1,5.192623461988973,5.120353517633042,33,2021
M38_57_2021,26.13,shrink,Maguey,38,57,25.18175257731959,t1,1,3.263084079532521,3.2261196281527784,34,2021
M38_58_2021,30.99,dead,Maguey,38,58,0,t1,0,3.433664571799657,NA,35,2021
M38_58_2021,47.74,grow,Maguey,38,58,58.56147887323944,t1,1,3.865769620910684,4.070077123317094,36,2021
M38_59_2021,143.71,shrink,Maguey,38,59,136.45515463917525,t1,1,4.9677973800861555,4.915996023202826,37,2021
M38_60_2021,81.98,shrink,Maguey,38,60,24.964742268041235,t1,1,4.406475315076191,3.2174645201677077,38,2021
M43_65_2021,203.17,grow,Maguey,43,65,217.98420187793428,t1,1,5.314043067009519,5.384422591713281,39,2021
M43_65_2021,216.56,grow,Maguey,43,65,226.84169014084506,t1,1,5.377867645306046,5.424252373924123,40,2021
M43_65_2021,293.7,grow,Maguey,43,65,308.2657276995305,t1,1,5.682558838204574,5.730962163287959,41,2021
M43_65_2021,67.22,grow,Maguey,43,65,77.62164319248826,t1,1,4.20797082229696,4.351846295421507,42,2021
M43_65_2021,43.45,same,Maguey,43,65,44.23826291079812,t1,1,3.7716108517114013,3.789590091316559,43,2021
M43_65_2021,60.76,shrink,Maguey,43,65,46.69978873239437,t1,1,4.106931677727572,3.8437396407330207,44,2021
M43_66_2021,106.27,dead,Maguey,43,66,0,t1,0,4.6659830253846035,NA,45,2021
M43_66_2021,27.33,grow,Maguey,43,66,37.860164319248824,t1,1,3.3079849999399764,3.6338994859526568,46,2021
M43_66_2021,112.59,grow,Maguey,43,66,117.49950704225351,t1,1,4.723752901815039,4.766434138190337,47,2021
M43_66_2021,176.94,same,Maguey,43,66,179.33906103286387,t1,1,5.17581069205524,5.189278209828607,48,2021
M43_66_2021,66.03,shrink,Maguey,43,66,55.576948356807506,t1,1,4.19010918420648,4.017768517387919,49,2021
M43_66_2021,146.87,shrink,Maguey,43,66,63.571173708920185,t1,1,4.989547841765771,4.152160124029725,50,2021
M43_67_2021,45.09,same,Maguey,43,67,43.95901408450705,t1,1,3.8086604924329928,3.783257701724935,51,2021
M43_68_2021,96.71,grow,Maguey,43,68,113.64908450704226,t1,1,4.571716809728872,4.733115494894724,52,2021
M43_68_2021,770.19,same,Maguey,43,68,785.2012676056338,t1,1,6.6466372376559075,6.6659400767739445,53,2021
M43_68_2021,156.26,same,Maguey,43,68,152.68711267605633,t1,1,5.051521286568598,5.028390812304509,54,2021
M43_68_2021,107.68,same,Maguey,43,68,106.66039906103286,t1,1,4.679163865896418,4.669649946596479,55,2021
M43_68_2021,156.82,shrink,Maguey,43,68,131.73267605633802,t1,1,5.055098650802776,4.880774687742281,56,2021
M45_85_2021,146.68,shrink,Maguey,45,85,118.242558685446,t1,1,4.988253343203126,4.772738096727647,57,2021
M45_85_2021,99.99,shrink,Maguey,45,85,82.07415492957746,t1,1,4.605070180987758,4.407623167015154,58,2021
M45_87_2021,338.03,same,Maguey,45,87,328.9649765258216,t1,1,5.823134648940764,5.795951290769898,59,2021
M45_87_2021,101.22,same,Maguey,45,87,99.68631455399061,t1,1,4.617296365785932,4.602028401287047,60,2021
M45_87_2021,91.62,shrink,Maguey,45,87,74.50955399061033,t1,1,4.517649588458596,4.31092735864798,61,2021
M45_88_2021,650.36,shrink,Maguey,45,88,584.591455399061,t1,1,6.477526055727354,6.370913236420929,62,2021
M45_88_2021,97.18,shrink,Maguey,45,88,74.6288262910798,t1,1,4.576564928977757,4.3125268439806295,63,2021
M48_50_2021,38.59,grow,Maguey,48,50,46.808144329896905,t1,1,3.6529931755495273,3.8460572119262526,64,2021
M74_95_2021,96.97,grow,Maguey,74,95,105.01542253521127,t1,1,4.574401652316455,4.65410722065925,65,2021
M74_95_2021,33.18,grow,Maguey,74,95,38.17518779342723,t1,1,3.5019472847622986,3.6421857703703235,66,2021
M74_95_2021,39.9,shrink,Maguey,74,95,36.60985915492958,t1,1,3.686376323895818,3.6003175799499174,67,2021
M74_95_2021,48.57,shrink,Maguey,74,95,33.56730046948357,t1,1,3.8830060563576536,3.513552392789275,68,2021
M74_95_2021,46.45,shrink,Maguey,74,95,34.206220657276994,t1,1,3.8383764652598478,3.5324075180921315,69,2021
T01_15_2021,364.4,grow,Tampico,1,15,400.6429577464788,t1,1,5.898252165385803,5.993070650998539,70,2021
T01_15_2021,172.37,grow,Tampico,1,15,186.63584507042253,t1,1,5.1496433291663,5.229159365733823,71,2021
T01_15_2021,137.34,same,Tampico,1,15,138.3938732394366,t1,1,4.9224596031925305,4.93010377370251,72,2021
