lambda,transition
1.0592330994827082,2021–2022
1.0515140803579366,2021–2022
1.057038092848903,2021–2022
1.0593121885009085,2021–2022
1.0497106064560868,2021–2022
1.051681726008184,2021–2022
1.0631589554214693,2021–2022
1.049664642549612,2021–2022
1.0467304812887035,2021–2022
1.0550139247978954,2021–2022
1.0639913210116634,2021–2022
1.0594452193317225,2021–2022
1.0490511428528253,2021–2022
1.054439202788872,2021–2022
1.0526693270507668,2021–2022
1.053077112061952,2021–2022
1.0473383452112763,2021–2022
1.0481805295053208,2021–2022
1.0593867070425946,2021–2022
1.0509196488613297,2021–2022
1.0541024546736186,2021–2022
1.0518772103855092,2021–2022
1.0597247641356375,2021–2022
1.057137498734157,2021–2022
1.0480678271432189,2021–2022
1.0555456720526035,2021–2022
1.0533469521782672,2021–2022
1.0576491123136766,2021–2022
1.0527971220945678,2021–2022
1.056711446171058,2021–2022
1.049642834142044,2021–2022
1.048928208850978,2021–2022
1.0535733958550864,2021–2022
1.0496531126486415,2021–2022
1.047779732621194,2021–2022
1.0495446221900386,2021–2022
1.064207579875023,2021–2022
1.0542597519836776,2021–2022
1.0613919920541415,2021–2022
1.0512064835693602,2021–2022
1.0549873981447007,2021–2022
1.0573926017685948,2021–2022
1.0484952967221066,2021–2022
1.05087700422154,2021–2022
1.0483458586832295,2021–2022
1.0586901408898974,2021–2022
1.0488217884857043,2021–2022
1.058692768526821,2021–2022
1.0530184036679298,2021–2022
1.0492142900531323,2021–2022
1.0587666113499064,2021–2022
1.048202831496014,2021–2022
1.0501798028312235,2021–2022
1.0483301385720465,2021–2022
1.051717874747007,2021–2022
1.062134811026655,2021–2022
1.0484988696806874,2021–2022
1.0530991808524397,2021–2022
1.0575265684738395,2021–2022
1.04825125905697,2021–2022
1.044857844147332,2021–2022
1.0485649857534605,2021–2022
1.0561413129218338,2021–2022
1.0507228158977886,2021–2022
1.0394559951542481,2021–2022
1.0592294738904289,2021–2022
1.0491902411717808,2021–2022
1.0508961870724636,2021–2022
1.0591224545132203,2021–2022
1.0505752789934582,2021–2022
1.0505479427619548,2021–2022
1.0443634953453262,2021–2022
1.0486640324134056,2021–2022
1.052548506230669,2021–2022
1.06191375983815,2021–2022
1.0467900980656086,2021–2022
1.0561563087498125,2021–2022
1.052252838147303,2021–2022
1.055426321955186,2021–2022
1.049116368437125,2021–2022
1.0557222354983653,2021–2022
1.0576350118830078,2021–2022
1.0524987761864795,2021–2022
1.057527775049702,2021–2022
1.0583572176322869,2021–2022
1.0511177681656918,2021–2022
1.0528993570262606,2021–2022
1.0574713757822378,2021–2022
1.053833739639524,2021–2022
1.0517971600140414,2021–2022
1.0558386183158197,2021–2022
1.049899983129885,2021–2022
1.0579873902952384,2021–2022
1.054762371908814,2021–2022
1.0446215479580634,2021–2022
1.0481096035884079,2021–2022
1.0576622360268104,2021–2022
1.0562077609090392,2021–2022
1.055379348956583,2021–2022
1.0614042126493106,2021–2022
1.0472401296929434,2021–2022
1.0565730550791765,2021–2022
1.0478811736621225,2021–2022
1.052863963693081,2021–2022
1.0494950165657642,2021–2022
1.0517938824377828,2021–2022
1.0576552771006802,2021–2022
1.052078046341579,2021–2022
1.0471552322926305,2021–2022
1.0513153348689357,2021–2022
1.052147990983292,2021–2022
1.0512875679321179,2021–2022
1.051271483775317,2021–2022
1.0598664690212278,2021–2022
1.0483137238984737,2021–2022
1.050732003439223,2021–2022
1.0622252235872003,2021–2022
1.060447441176521,2021–2022
1.0533629687887103,2021–2022
1.055102478067103,2021–2022
1.0537305981214014,2021–2022
1.049801535801571,2021–2022
1.0520647134835277,2021–2022
1.0528434129330957,2021–2022
1.0565256853959035,2021–2022
1.0535717858883493,2021–2022
1.055659822899406,2021–2022
1.0561679433185174,2021–2022
1.0480836496908719,2021–2022
1.0594610083049119,2021–2022
1.0466310395972416,2021–2022
1.0603980569301408,2021–2022
1.0510874281709228,2021–2022
1.0528035632120112,2021–2022
1.045341914205019,2021–2022
1.043182287540241,2021–2022
1.043860252420194,2021–2022
1.0566224826776063,2021–2022
1.0592292631668874,2021–2022
1.0513837458968498,2021–2022
1.065033660210619,2021–2022
1.050113343506443,2021–2022
1.0493586021594867,2021–2022
1.0496078448395716,2021–2022
1.0481292546211438,2021–2022
1.05484994754689,2021–2022
1.0556687546599839,2021–2022
1.0612748387695659,2021–2022
1.0571613772065016,2021–2022
1.0536639852299343,2021–2022
1.0495038107557337,2021–2022
1.0619012246985737,2021–2022
1.0490148122830447,2021–2022
1.0475329520573287,2021–2022
1.0627170335152596,2021–2022
1.0565250360705407,2021–2022
1.054217615100453,2021–2022
1.0502067931568633,2021–2022
1.0598049468869783,2021–2022
1.0536194159799175,2021–2022
1.0604048778682087,2021–2022
1.053949255145572,2021–2022
1.0529535256322675,2021–2022
1.0503243983800061,2021–2022
1.0452381652051357,2021–2022
1.0461562650518146,2021–2022
1.052467070119946,2021–2022
1.056067208074586,2021–2022
1.0660691782905574,2021–2022
1.0523021146414644,2021–2022
1.0535147034619186,2021–2022
1.049973457557258,2021–2022
1.052392579136184,2021–2022
1.0501136049401796,2021–2022
1.0516140557561255,2021–2022
1.0592018754603527,2021–2022
1.0464628635465394,2021–2022
1.0480604784647871,2021–2022
1.0533056752853014,2021–2022
1.0532219408207966,2021–2022
1.053942430957632,2021–2022
1.0564638084993314,2021–2022
1.0513007834458237,2021–2022
1.0424981048102877,2021–2022
1.0453475117366142,2021–2022
1.056876582677829,2021–2022
1.0445465713682922,2021–2022
1.0587222954276596,2021–2022
1.0423461172524655,2021–2022
1.0513390120220003,2021–2022
1.0620324593055404,2021–2022
1.0451772563659252,2021–2022
1.0608975976443353,2021–2022
1.051535602890682,2021–2022
